instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity
SC_n500_R1000_s900,GA-FIX-2P+BF1,1,157846.0,2.612039994000952,19700,True,27,0.0034944000000000012
SC_n500_R1000_s900,GA-FIX-2P+BF1,2,157846.0,2.754735010999866,19700,True,28,0.004600000000000001
SC_n500_R1000_s900,GA-FIX-2P+BF1,3,157846.0,2.0974107360016205,19700,True,28,0.003304000000000002
SC_n500_R1000_s900,GA-FIX-2P+BF1,4,157846.0,2.622472345999995,19700,True,36,0.0025000000000000005
SC_n500_R1000_s900,GA-FIX-2P+BF1,5,157746.0,2.3778468890013755,19700,True,45,0.004032800000000001
SC_n500_R1000_s900,GA-FIX-2P+BF3,0,157946.0,3.2422930100001395,19700,True,54,0.011339200000000006
SC_n500_R1000_s900,GA-FIX-2P+BF3,1,157946.0,3.126462697000534,19700,True,45,0.010919200000000006
SC_n500_R1000_s900,GA-FIX-2P+BF3,2,157946.0,2.3552507480017084,19700,True,58,0.007868000000000003
SC_n500_R1000_s900,GA-FIX-2P+BF3,3,157946.0,3.260917175997747,19700,True,47,0.016447200000000002
SC_n500_R1000_s900,GA-FIX-2P+BF3,4,157946.0,3.223194190002687,19700,True,42,0.009916800000000003
SC_n500_R1000_s900,GA-FIX-2P+BF3,5,157846.0,3.116597347998322,19700,True,31,0.012814400000000007
SC_n500_R1000_s900,GA-FIX-2P+SWAP,0,157846.0,2.792027692001284,19700,True,45,0.007820000000000002
SC_n500_R1000_s900,GA-FIX-2P+SWAP,1,157846.0,2.4402482289988257,19700,True,27,0.006296000000000002
SC_n500_R1000_s900,GA-FIX-2P+SWAP,2,157846.0,3.0450627130012435,19700,True,30,0.008948800000000002
SC_n500_R1000_s900,GA-FIX-2P+SWAP,3,157846.0,2.8738829659996554,19700,True,34,0.006563200000000002
SC_n500_R1000_s900,GA-FIX-2P+SWAP,4,157846.0,3.168338275001588,19700,True,39,0.004779200000000001
SC_n500_R1000_s900,GA-FIX-2P+SWAP,5,157946.0,3.0306378380009846,19700,True,35,0.00572
SC_n500_R1000_s900,GA-FIX-UX+BF1,0,157846.0,2.5551204340008553,19700,True,23,0.004256000000000001
SC_n500_R1000_s900,GA-FIX-UX+BF1,1,157946.0,2.4725139469992428,19700,True,23,0.0023376
SC_n500_R1000_s900,GA-FIX-UX+BF1,2,157946.0,2.3493154240022704,19700,True,25,0.0011768000000000006
SC_n500_R1000_s900,GA-FIX-UX+BF1,3,157946.0,2.964072896000289,19700,True,32,0.0027200000000000006
SC_n500_R1000_s900,GA-FIX-UX+BF1,4,157946.0,2.661282234999817,19700,True,37,0.0012560000000000006
SC_n500_R1000_s900,GA-FIX-UX+BF1,5,157946.0,2.5630141340006958,19700,True,30,0.0007808000000000003
SC_n500_R1000_s900,GA-FIX-UX+BF3,0,157946.0,3.317188133001764,19700,True,43,0.031326400000000004
SC_n500_R1000_s900,GA-FIX-UX+BF3,1,157946.0,3.1147848420005175,19700,True,45,0.054480000000000015
SC_n500_R1000_s900,GA-FIX-UX+BF3,2,157946.0,3.501570829997945,19700,True,41,0.03799600000000001
SC_n500_R1000_s900,GA-FIX-UX+BF3,3,157946.0,2.9847825030010426,19700,True,35,0.02899760000000001
SC_n500_R1000_s900,GA-FIX-UX+BF3,4,157946.0,3.3922003569969092,19700,True,35,0.03248480000000001
SC_n500_R1000_s900,GA-FIX-UX+BF3,5,157946.0,2.8339981899989652,19700,True,21,0.04268400000000001
SC_n500_R1000_s900,GA-FIX-UX+SWAP,0,157946.0,3.4518734449993644,19700,True,34,0.0050464
SC_n500_R1000_s900,GA-FIX-UX+SWAP,1,157946.0,2.235342400999798,19700,True,32,0.0050496000000000004
SC_n500_R1000_s900,GA-FIX-UX+SWAP,2,157946.0,3.2323012980014028,19700,True,35,0.006365600000000001
