instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity,reference,gap_pct,optimal_hit,family,class,n,m
ASC_n500_R1000_s901,GA-QL,2,158820.0,2.975659250998433,19700,True,128,0.003844800000000001,158827.0,0.004407311099498196,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL,3,158804.0,1.7676402110009803,19700,True,95,0.009030400000000006,158827.0,0.014481165041208359,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL,4,158811.0,3.040742739001871,19700,True,143,0.0047536,158827.0,0.010073853941710162,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL,5,158809.0,2.95795797199753,19700,True,99,0.010228800000000007,158827.0,0.011333085684423932,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-a,0,158704.0,2.96896485400066,19700,True,38,0.007765600000000003,158827.0,0.07744275217689688,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-a,1,158802.0,2.617175307997968,19700,True,42,0.00424,158827.0,0.01574039678392213,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-a,2,158814.0,3.066799546999391,19700,True,54,0.011065600000000005,158827.0,0.008185006327639507,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-a,3,158813.0,2.1600087729966617,19700,True,55,0.007975200000000005,158827.0,0.008814622198996392,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-a,4,158807.0,2.984118431999377,19700,True,111,0.009408800000000007,158827.0,0.012592317427137704,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-a,5,158809.0,3.117534400000295,19700,True,113,0.018947200000000008,158827.0,0.011333085684423932,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-b,0,158814.0,2.7350287600020238,19700,True,47,0.011789600000000008,158827.0,0.008185006327639507,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-b,1,158814.0,3.017028001999279,19700,True,117,0.012669600000000007,158827.0,0.008185006327639507,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-b,2,158820.0,3.082250611998461,19700,True,128,0.003844800000000001,158827.0,0.004407311099498196,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-b,3,158804.0,2.2913743750032154,19700,True,95,0.009030400000000006,158827.0,0.014481165041208359,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-b,4,158811.0,2.4145992120029405,19700,True,143,0.0047536,158827.0,0.010073853941710162,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-b,5,158809.0,2.8375894680029887,19700,True,99,0.010228800000000007,158827.0,0.011333085684423932,False,pisinger-gen,ASC,500,1
ASC_n500_R1000_s901,GA-QL-c,0,158797.0,3.129679686997406,19700,True,162,0.007803200000000004,158827.0,0.018888476140706555,False,pisinger-gen,ASC,500,1
