instance,family,class,n,m,optimum_file,greedy,t_greedy,ub_lp,f_n,f_m,f_tightness,f_corr_vw,f_cv_ratio,f_cv_w,f_cv_v,f_greedy_gap_ub,milp,t_milp,milp_status,milp_bound
OR5x100-0.75_1.dat,orlib-mkp,MKP-OR5x100,100,5,,58928.0,0.001060354999935953,60016.55516088342,100,5,0.75000212692962,0.6435919726415457,0.25435335302307294,0.26586661587948385,0.2705238399477904,0.01813758150505948,59822.0,3.5387537220012746,optimal,59822.0
OR5x100-0.75_10.dat,orlib-mkp,MKP-OR5x100,100,5,,59650.0,0.0011561420033103786,60242.912600196585,100,5,0.7500042853737834,0.6728933054027292,0.22137556440364803,0.2510709936006422,0.2647517906387964,0.00984203078180271,59965.0,19.721799228002055,optimal,59965.0
OR5x100-0.75_2.dat,orlib-mkp,MKP-OR5x100,100,5,,60952.0,0.0011293870011286344,62228.22115553591,100,5,0.7500050683651185,0.6823518534932314,0.2247243396960286,0.24864587289981668,0.24301534840515376,0.02050871986756728,62081.0,11.401618324001902,optimal,62081.0
OR5x100-0.75_3.dat,orlib-mkp,MKP-OR5x100,100,5,,59125.0,0.0012717660029011313,59963.295742923365,100,5,0.749997949310095,0.6343493927830223,0.24607936409730216,0.26373529221595415,0.2500659663378022,0.013980147897762894,59802.0,14.751985394999792,optimal,59802.0
OR5x100-0.75_4.dat,orlib-mkp,MKP-OR5x100,100,5,,59997.0,0.0012168410030426458,60644.210021264626,100,5,0.7500057460823271,0.6865248905295501,0.2730531788006465,0.2807819456447699,0.26226254013170336,0.010672247540823505,60479.0,27.23136065899962,optimal,60479.0
OR5x100-0.75_5.dat,orlib-mkp,MKP-OR5x100,100,5,,60746.0,0.0011589509995246772,61338.95918218699,100,5,0.7500041938871194,0.6732429678338514,0.25669436232505105,0.27956082242847263,0.24882521376185784,0.009666926046557174,61091.0,8.811012038000626,optimal,61091.0
OR5x100-0.75_6.dat,orlib-mkp,MKP-OR5x100,100,5,,58358.0,0.0011509309988468885,59161.86813069532,100,5,0.750002402118535,0.6902498601137679,0.2546459639116409,0.274492723896463,0.28459833637925913,0.013587605599598134,58959.0,11.434970147001877,optimal,58959.0
OR5x100-0.75_7.dat,orlib-mkp,MKP-OR5x100,100,5,,60776.0,0.0008497150010953192,61696.08088007535,100,5,0.7500048398562364,0.6842334889531528,0.2584800005905347,0.2429020361913011,0.24992100657749058,0.014913117121066433,61538.0,3.7795830219984055,optimal,61538.0
OR5x100-0.75_8.dat,orlib-mkp,MKP-OR5x100,100,5,,59696.0,0.0010517860027903225,61727.45540851005,100,5,0.750006040499672,0.6311683151984413,0.23602548304188223,0.25373876988772665,0.2458954749223741,0.032910078587655295,61520.0,4.672500119999313,optimal,61520.00000000003
OR5x100-0.75_9.dat,orlib-mkp,MKP-OR5x100,100,5,,58112.0,0.0014792660003877245,59618.006303703834,100,5,0.7500010082229513,0.6532093589916822,0.23092756513398924,0.23916754328242595,0.2575469967701942,0.02526093033088012,59453.0,3.865030881999701,optimal,59453.000000000015
